Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShawnLink\ShawnLink.csproj,File,ShawnLink\ShawnLink.csproj,,,DotEnv 0.0.1.1,,,,,"DotEnv, 0.0.1.1  Recommendation:  No supported version found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ShawnLink\ShawnLink.csproj,File,ShawnLink\ShawnLink.csproj,,,Microsoft.EntityFrameworkCore.Design 8.0.1,,,,,"Microsoft.EntityFrameworkCore.Design, 8.0.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ShawnLink\ShawnLink.csproj,File,ShawnLink\ShawnLink.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 8.0.1,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 8.0.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.8"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShawnLink\ShawnLink.csproj,File,ShawnLink\ShawnLink.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.19.6,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.19.6  Recommendation:  No supported version found"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,ShawnLink\ShawnLink.csproj,File,ShawnLink\ShawnLink.csproj,,,Microsoft.Identity.Web 2.16.1,,,,,"Microsoft.Identity.Web, 2.16.1  Recommendation:  Move to Microsoft.Identity.Web.* latest. See https://aka.ms/IdWeb/LTS for details. Remove Microsoft.Identity.Web, and replace with new package Microsoft.Identity.Web, 4.9.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,ShawnLink\ShawnLink.csproj,File,ShawnLink\ShawnLink.csproj,,,Microsoft.Identity.Web.MicrosoftGraph 2.16.1,,,,,"Microsoft.Identity.Web.MicrosoftGraph, 2.16.1  Recommendation:  Move to Microsoft.Identity.Web.* latest. See https://aka.ms/IdWeb/LTS for details. Remove Microsoft.Identity.Web.MicrosoftGraph, and replace with new package Microsoft.Identity.Web.MicrosoftGraph, 4.9.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,ShawnLink\ShawnLink.csproj,File,ShawnLink\ShawnLink.csproj,,,Microsoft.Identity.Web.UI 2.16.1,,,,,"Microsoft.Identity.Web.UI, 2.16.1  Recommendation:  Move to Microsoft.Identity.Web.* latest. See https://aka.ms/IdWeb/LTS for details. Remove Microsoft.Identity.Web.UI, and replace with new package Microsoft.Identity.Web.UI, 4.9.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ShawnLink\ShawnLink.csproj,File,ShawnLink\ShawnLink.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ShawnLink\ShawnLink.csproj,File,ShawnLink\Program.cs,68,0,M:Microsoft.AspNetCore.Builder.ForwardedHeadersExtensions.UseForwardedHeaders(Microsoft.AspNetCore.Builder.IApplicationBuilder),,,,,app.UseForwardedHeaders();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ShawnLink\ShawnLink.csproj,File,ShawnLink\Program.cs,37,2,P:Microsoft.AspNetCore.Builder.ForwardedHeadersOptions.KnownNetworks,,,,,options.KnownNetworks.Clear();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ShawnLink\ShawnLink.csproj,File,ShawnLink\Program.cs,21,0,T:Microsoft.AspNetCore.Authentication.OpenIdConnect.OpenIdConnectDefaults,,,,,"builder.Services.AddAuthentication(OpenIdConnectDefaults.AuthenticationScheme)    .AddMicrosoftIdentityWebApp(builder.Configuration.GetSection(""AzureAd""));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ShawnLink\ShawnLink.csproj,File,ShawnLink\Program.cs,21,0,F:Microsoft.AspNetCore.Authentication.OpenIdConnect.OpenIdConnectDefaults.AuthenticationScheme,,,,,"builder.Services.AddAuthentication(OpenIdConnectDefaults.AuthenticationScheme)    .AddMicrosoftIdentityWebApp(builder.Configuration.GetSection(""AzureAd""));"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,shawnlinkadmin\shawnlinkadmin.esproj,File,shawnlinkadmin\shawnlinkadmin.esproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.7.2 Recommended target framework: net10.0"
